sim_type,base_learner,n,method,mean_mse,se_mse,n_iter
A,GAM,1000,EP-Learner (ours),0.0664219441027586,0.00404510461295551,99
A,GAM,1000,DR-Learner,0.0960998473554524,0.0135378339913106,99
A,GAM,1000,R-Learner,0.0628006812033072,0.00299212009784727,99
A,GAM,1000,T-Learner,0.059727679497676,0.0027786292016906,99
A,GAM,2000,EP-Learner (ours),0.0351621293177292,0.00169797911660091,99
A,GAM,2000,DR-Learner,0.0374816736614293,0.00164024527064177,99
A,GAM,2000,R-Learner,0.0311707766822138,0.00153557573162357,99
A,GAM,2000,T-Learner,0.0429647984746,0.00188281322528861,99
B,XGBoost,500,EP-Learner (ours),0.186004765222285,0.00710325890439028,100
B,XGBoost,500,DR-Learner,0.305318316339542,0.0681582161400019,100
B,XGBoost,500,R-Learner,0.299144758781939,0.0107046194915152,100
B,XGBoost,500,T-Learner,0.451209266659515,0.00911137334443591,100
B,XGBoost,1000,EP-Learner (ours),0.105555294553801,0.00391488774071848,99
B,XGBoost,1000,DR-Learner,0.160450123087036,0.00621383519647977,99
B,XGBoost,1000,R-Learner,0.177370083594174,0.00522045345536525,99
B,XGBoost,1000,T-Learner,0.371530415614778,0.00699215365842955,99
B,XGBoost,2000,EP-Learner (ours),0.0754824213889336,0.00344344605694,99
B,XGBoost,2000,DR-Learner,0.162741724103955,0.0297487501739854,99
B,XGBoost,2000,R-Learner,0.114139413037457,0.00360540807600015,99
B,XGBoost,2000,T-Learner,0.29181954544719,0.00399829362479588,99
B,Random Forest,500,EP-Learner (ours),0.192251610974992,0.00717505285109131,100
B,Random Forest,500,DR-Learner,0.334683023341388,0.0462262319854666,100
B,Random Forest,500,R-Learner,0.361072470659719,0.00999133294455456,100
B,Random Forest,500,T-Learner,0.384967260346389,0.00655207502899507,100
B,Random Forest,500,Causal Forest,0.411868664120835,0.0125619824897934,100
B,Random Forest,1000,EP-Learner (ours),0.110525660796689,0.00409004254036866,99
B,Random Forest,1000,DR-Learner,0.195658399456147,0.00484518676955497,99
B,Random Forest,1000,R-Learner,0.219529199171041,0.00492492512859503,99
B,Random Forest,1000,T-Learner,0.299985917623661,0.00499653099958756,99
B,Random Forest,1000,Causal Forest,0.236047499222122,0.00580710852016643,99
B,Random Forest,2000,EP-Learner (ours),0.075404241570257,0.00318153707457957,99
B,Random Forest,2000,DR-Learner,0.182648442171307,0.0326734829839293,99
B,Random Forest,2000,R-Learner,0.136957178799495,0.00276891646033735,99
B,Random Forest,2000,T-Learner,0.228324940060138,0.00288872860938006,99
B,Random Forest,2000,Causal Forest,0.129155255635068,0.00279668748912384,99
B,GAM,500,EP-Learner (ours),0.117035132216668,0.00624886417810212,100
B,GAM,500,DR-Learner,0.121249992519228,0.0147508228488846,100
B,GAM,500,R-Learner,0.157008163594547,0.00870640274851089,100
B,GAM,500,T-Learner,0.100025973112928,0.00393907903412134,100
B,GAM,1000,EP-Learner (ours),0.0575418097894564,0.00284276450253512,99
B,GAM,1000,DR-Learner,0.0519227205152771,0.00263921158780272,99
B,GAM,1000,R-Learner,0.0666311332261032,0.00379874210118894,99
B,GAM,1000,T-Learner,0.0537128969453753,0.00233642035967174,99
B,GAM,2000,EP-Learner (ours),0.0309792545341427,0.00170787544618227,99
B,GAM,2000,DR-Learner,0.0342617020364618,0.00531048581036896,99
B,GAM,2000,R-Learner,0.0281804880017471,0.00144951556047958,99
B,GAM,2000,T-Learner,0.0258380910125141,0.00133772707524601,99
C,XGBoost,500,EP-Learner (ours),0.104305978892246,0.0115152431555886,99
C,XGBoost,500,DR-Learner,0.194571377035091,0.0268050034550442,99
C,XGBoost,500,R-Learner,0.120202678733438,0.0042150653459682,99
C,XGBoost,500,T-Learner,0.865498425615879,0.0165766596454929,99
C,XGBoost,1000,EP-Learner (ours),0.0531018774490018,0.00407182911145635,97
C,XGBoost,1000,DR-Learner,0.133932536542662,0.0217630456623154,97
C,XGBoost,1000,R-Learner,0.0653569401812975,0.00235049941631818,97
C,XGBoost,1000,T-Learner,0.614618014157905,0.0111765661267663,97
